negeri,bahagian (no),bahagian (nama),nama calon,parti,bilangan undi,status
JOHOR,N. 01,BULOH KASAP,ZAHARI BIN SARIP,BN,9186,MENANG
JOHOR,N. 01,BULOH KASAP,NORSAMSU BIN MOHD YUSOF,PKR,8309,
JOHOR,N. 02,JEMENTAH,CHIAM YOK MENG,BN,9335,
JOHOR,N. 02,JEMENTAH,TAN CHEN CHOON,PKR,16336,MENANG
JOHOR,N. 02,JEMENTAH,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,1986,HILANG DEPOSIT
JOHOR,N. 03,PEMANIS,KOO SHIAW LEE,BN,7941,
JOHOR,N. 03,PEMANIS,CHONG FAT FULL,PKR,8304,MENANG
JOHOR,N. 03,PEMANIS,NORMALA BINTI SUDIRMAN,PAS,2151,HILANG DEPOSIT
JOHOR,N. 04,KEMELAH,ANUAR BIN ABD. MANAP,BN,8481,
JOHOR,N. 04,KEMELAH,SULAIMAN BIN MOHD NOR,PKR,10836,MENANG
JOHOR,N. 05,TENANG,MOHD AZAHAR BIN IBRAHIM,BN,6575,
JOHOR,N. 05,TENANG,NASHARUDIN BIN AWANG,PAS,794,HILANG DEPOSIT
JOHOR,N. 05,TENANG,MOHD SOLIHAN BIN BADRI,PKR,7645,MENANG
JOHOR,N. 06,BEKOK,TAN CHONG,BN,7514,
JOHOR,N. 06,BEKOK,RAMAKRISHNAN A/L SUPPIAH ,PKR,9983,MENANG
JOHOR,N. 07,BUKIT KEPONG,MOHD NOOR BIN TAIB,BN,10392,
JOHOR,N. 07,BUKIT KEPONG,SAHRUDDIN BIN JAMAL,PKR,11665,MENANG
JOHOR,N. 07,BUKIT KEPONG,MUHAMAD NUR IQBAL BIN ABD RAZAK,PAS,1761,HILANG DEPOSIT
JOHOR,N. 08,BUKIT PASIR,NORIAH BINTI MAHAT,BN,7952,
JOHOR,N. 08,BUKIT PASIR,NAJIB BIN LEP,PAS,9835,MENANG
JOHOR,N. 09,GAMBIR,M ASOJAN A/L MUNIYANDY,BN,7192,
JOHOR,N. 09,GAMBIR,MAHFODZ BIN MOHAMED,PAS,1806,HILANG DEPOSIT
JOHOR,N. 09,GAMBIR,MAHIADDIN BIN MD YASIN,PKR,10280,MENANG
JOHOR,N. 10,TANGKAK,GOH TEE TEE,BN,8435,
JOHOR,N. 10,TANGKAK,EE CHIN LI,PKR,13512,MENANG
JOHOR,N. 11,SEROM,ABDULL RAHIM BIN TALIB,BN,9450,
JOHOR,N. 11,SEROM,FAIZUL AMRI BIN ADNAN,PKR,11774,MENANG
JOHOR,N. 11,SEROM,MUSTAFFA BIN SALLEH,PAS,2708,HILANG DEPOSIT
JOHOR,N. 12,BENTAYAN,LEE KIM HENG,BN,4649,
JOHOR,N. 12,BENTAYAN,NG YAK HOWE ,PKR,18278,MENANG
JOHOR,N. 13,SIMPANG JERAM,MOHD RADZI BIN AMIN ,BN,6953,
JOHOR,N. 13,SIMPANG JERAM,MOHD MAZRI BIN YAHYA,PAS,2136,HILANG DEPOSIT
JOHOR,N. 13,SIMPANG JERAM,AHMAD BIN HASHIM,BEBAS,28,HILANG DEPOSIT
JOHOR,N. 13,SIMPANG JERAM,SALAHUDDIN BIN AYUB ,PKR,14640,MENANG
JOHOR,N. 14,BUKIT NANING,HASSAN BIN JOHARI,BN,5728,
JOHOR,N. 14,BUKIT NANING,AZMAN BIN IBRAHIM,PAS,1677,HILANG DEPOSIT
