negeri,bahagian (no),bahagian (nama),nama calon,parti,bilangan undi,status
JOHOR,P. 140,SEGAMAT,SUBRAMANIAM A/L K.V SATHASIVAM,BN,18584,
JOHOR,P. 140,SEGAMAT,SANTHARA KUMAR A/L RAMANAIDU,PKR,24060,MENANG
JOHOR,P. 140,SEGAMAT,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,2676,HILANG DEPOSIT
JOHOR,P. 141,SEKIJANG,AYUB BIN RAHMAT,BN,18278,
JOHOR,P. 141,SEKIJANG,NATRAH BINTI ISMAIL,PKR,19559,MENANG
JOHOR,P. 142,LABIS,CHUA TEE YONG ,BN,13567,
JOHOR,P. 142,LABIS,PANG HOK LIONG,PKR,16977,MENANG
JOHOR,P. 142,LABIS,SARCHU BIN SAWAL,PAS,2034,HILANG DEPOSIT
JOHOR,P. 143,PAGOH,ISMAIL BIN MOHAMED,BN,16631,
JOHOR,P. 143,PAGOH,MAHIADDIN BIN MD YASIN,PKR,23558,MENANG
JOHOR,P. 143,PAGOH,AHMAD NAWFAL BIN MAHFODZ,PAS,2483,HILANG DEPOSIT
JOHOR,P. 144,LEDANG,HAMIM BIN SAMURI,BN,26040,
JOHOR,P. 144,LEDANG,SYED IBRAHIM BIN SYED NOR,PKR,34706,MENANG
JOHOR,P. 144,LEDANG,RUSMAN BIN KEMIN,PAS,4668,HILANG DEPOSIT
JOHOR,P. 145,BAKRI,KOH CHON CHAI,BN,15507,
JOHOR,P. 145,BAKRI,ZARUL @ MOHAMAD ZAHRUL BIN SALLEH,PAS,7575,HILANG DEPOSIT
JOHOR,P. 145,BAKRI,YEO BEE YIN ,PKR,38718,MENANG
JOHOR,P. 146,MUAR,RAZALI BIN IBRAHIM,BN,15388,
JOHOR,P. 146,MUAR,SYED SADDIQ BIN SYED ABDUL RAHMAN,PKR,22341,MENANG
JOHOR,P. 146,MUAR,ABDUL AZIZ BIN TALIB ,PAS,4354,HILANG DEPOSIT
JOHOR,P. 147,PARIT SULONG,NORAINI BINTI AHMAD,BN,24481,MENANG
JOHOR,P. 147,PARIT SULONG,ANIS AFIDA BINTI MOHD AZLI,PKR,18140,
JOHOR,P. 147,PARIT SULONG,AHMAD ROSDI BIN BAHARI,PAS,7148,
JOHOR,P. 148,AYER HITAM,WEE KA SIONG,BN,17076,MENANG
JOHOR,P. 148,AYER HITAM,MARDI BIN MARWAN,PAS,4975,
JOHOR,P. 148,AYER HITAM,LIEW CHIN TONG,PKR,16773,
JOHOR,P. 149,SRI GADING,AB AZIZ BIN KAPRAWI,BN,18223,
JOHOR,P. 149,SRI GADING,SHARUDDIN BIN MD SALLEH ,PKR,21511,MENANG
JOHOR,P. 149,SRI GADING,M ASH'ARI BIN SIDON,PAS,4548,HILANG DEPOSIT
JOHOR,P. 150,BATU PAHAT,HALIZA BINTI ABDULLAH,BN,28035,
JOHOR,P. 150,BATU PAHAT,MAHFODZ BIN MOHAMED,PAS,8173,HILANG DEPOSIT
JOHOR,P. 150,BATU PAHAT,MOHD RASHID BIN HASNON,PKR,45929,MENANG
JOHOR,P. 151,SIMPANG RENGGAM,LIANG TECK MENG,BN,14682,
JOHOR,P. 151,SIMPANG RENGGAM,MASZLEE BIN MALIK,PKR,18157,MENANG
JOHOR,P. 151,SIMPANG RENGGAM,MOHD JUBRI BIN SELAMAT ,PAS,2983,HILANG DEPOSIT
JOHOR,P. 152,KLUANG,GAN PING SHOU @ GAN PING SIEU,BN,24618,
JOHOR,P. 152,KLUANG,WONG SHU QI,PKR,47671,MENANG
JOHOR,P. 152,KLUANG,MUHAMMAD HASBULLAH BIN MD NAJIB ,PAS,8242,HILANG DEPOSIT
JOHOR,P. 153,SEMBRONG,HISHAMMUDDIN BIN DATUK HUSSEIN,BN,21353,MENANG
JOHOR,P. 153,SEMBRONG,ONN BIN ABU BAKAR,PKR,14691,
JOHOR,P. 154,MERSING,ABD. LATIFF BIN AHMAD,BN,19806,MENANG
JOHOR,P. 154,MERSING,A. RAHMAN BIN A. HAMID,PAS,6215,
JOHOR,P. 154,MERSING,MD. NASIR BIN HASHIM,PKR,11347,
JOHOR,P. 155,TENGGARA,ADHAM BIN BABA,BN,20142,MENANG
JOHOR,P. 155,TENGGARA,YUHANITA BINTI YUNAN,PAS,2683,HILANG DEPOSIT
JOHOR,P. 155,TENGGARA,NORJEPRI BIN MOHAMED JELANI,PKR,14209,
JOHOR,P. 156,KOTA TINGGI,HALIMAH BINTI MOHD SADIQUE,BN,26407,MENANG
JOHOR,P. 156,KOTA TINGGI,AZLINDA BINTI ABDUL LATIF ,PKR,11786,
JOHOR,P. 157,PENGERANG,AZALINA BINTI OTHMAN,BN,21829,MENANG
JOHOR,P. 157,PENGERANG,NORLIZA BINTI NGADIRAN,PKR,10412,
JOHOR,P. 158,TEBRAU,HOU KOK CHUNG,BN,27310,
JOHOR,P. 158,TEBRAU,CHOONG SHIAU YOON,PKR,64535,MENANG
JOHOR,P. 158,TEBRAU,ABDULLAH BIN HUSIN,PAS,12098,HILANG DEPOSIT
JOHOR,P. 159,PASIR GUDANG,MOHAMED KHALED BIN NORDIN,BN,36889,
JOHOR,P. 159,PASIR GUDANG,AB. AZIZ BIN ABDULLAH,PAS,6278,HILANG DEPOSIT
JOHOR,P. 159,PASIR GUDANG,HASSAN BIN ABDUL KARIM,PKR,61615,MENANG
JOHOR,P. 159,PASIR GUDANG,SEY JOCK @ CHEE JOCK,BEBAS,227,HILANG DEPOSIT
JOHOR,P. 160,JOHOR BAHRU,SHARIL@SHAHRIR BIN AB SAMAD,BN,30270,
JOHOR,P. 160,JOHOR BAHRU,AKMAL NASRULLAH BIN MOHD NASIR,PKR,50052,MENANG
JOHOR,P. 161,PULAI,NUR JAZLAN BIN MOHAMED,BN,26523,
JOHOR,P. 161,PULAI,MOHD MAZRI BIN YAHYA,PAS,4332,HILANG DEPOSIT
JOHOR,P. 161,PULAI,SALAHUDDIN BIN AYUB,PKR,55447,MENANG
JOHOR,P. 161,PULAI,YAP KENG TAK,BEBAS,591,HILANG DEPOSIT
JOHOR,P. 162,ISKANDAR PUTERI,TEOH SEW HOCK,BN,35862,
JOHOR,P. 162,ISKANDAR PUTERI,LIM KIT SIANG ,PKR,80726,MENANG
JOHOR,P. 163,KULAI,TANG NAI SOON,BN,22564,
JOHOR,P. 163,KULAI,TEO NIE CHING,PKR,55312,MENANG
JOHOR,P. 163,KULAI,JUWAHIR BIN AMIN,PAS,6667,HILANG DEPOSIT
JOHOR,P. 164,PONTIAN,AHMAD BIN MASLAN,BN,21132,MENANG
JOHOR,P. 164,PONTIAN,BAHAROM BIN MOHAMAD,PAS,4295,HILANG DEPOSIT
JOHOR,P. 164,PONTIAN,KARMAINE BIN SARDINI,PKR,20299,
JOHOR,P. 165,TANJUNG PIAI,WEE JECK SENG,BN,20731,
JOHOR,P. 165,TANJUNG PIAI,MD FARID BIN MD RAFIK,PKR,21255,MENANG
JOHOR,P. 165,TANJUNG PIAI,NORDIN BIN OTHMAN,PAS,2962,HILANG DEPOSIT
KEDAH,P. 004,LANGKAWI,MAHATHIR BIN MOHAMAD,PKR,18954,MENANG
KEDAH,P. 004,LANGKAWI,ZUBIR BIN AHMAD,PAS,5512,
KEDAH,P. 004,LANGKAWI,NAWAWI BIN AHMAD,BN,10061,
KEDAH,P. 005,JERLUN,OTHMAN BIN AZIZ,BN,12413,
KEDAH,P. 005,JERLUN,ABD. GHANI BIN AHMAD,PAS,12829,
KEDAH,P. 005,JERLUN,MUKHRIZ MAHATHIR,PKR,18695,MENANG
KEDAH,P. 006,KUBANG PASU,AMIRUDDIN BIN HAMZAH,PKR,29984,MENANG
KEDAH,P. 006,KUBANG PASU,NORHAFIZA BINTI FADZIL,PAS,13375,
KEDAH,P. 006,KUBANG PASU,MOHD JOHARI BIN BAHARUM,BN,16975,
KEDAH,P. 007,PADANG TERAP,MOHAMAD AZAM BIN ABD MAJID @ ABD AZIZ,PAS,15285,
KEDAH,P. 007,PADANG TERAP,MOHD KHAIRIZAL BIN KHAZALI,PKR,7254,
KEDAH,P. 007,PADANG TERAP,MAHDZIR BIN KHALID,BN,16384,MENANG
